address	                                    execution cost
0x14723a09acff6d2a60dcdf7aa4aff308fddc160c	1694
0x4b0897b0513fdc7c541b6d9d7e929c4e5364d2db	2475
0x583031d1113ad414f02576bd6afabfb302140225	3256
0xdd870fa1b7c4700f2bd7f44238821c26f7392148	4037
0xc3b6f658e2b44d52ecca2917343b0764158a30fb	4818
0x9322a2b951baee890386e4ada938cd6638778846	5599
0x93055069beceb25cb4b3079de4c363919f785940	6380
0x5ab35bb1bf5043fe2929a5878ab4423bbae3340e	7161
0x6dbc70a73dc0c25edd41df3bb73e6459c86e2e7c	7942
0xed0005aac35cc1774bbaf032a5120c257557acb4	8723
